"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(slope)_psi","psi(NDVI_1_5km)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_rd_density_1_5km)_psi","psi(turbine_rd_density_1_5km:NDVI_1_5km)_psi","psi(turbine_rd_density_1_5km:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"NDVI + slope",5,595.315271153474,0,1,0.601935965651471,-292.345135576737,0.601935965651471,"NDVI + slope","-1.96 [-2.55, -1.36]","0.83 [0.30, 1.36]","1.38 [0.77, 1.99]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.41 [-4.03, -0.79]",NA,NA,NA,NA
"Turbine road density + NDVI + slope",6,597.375412627167,2.06014147369297,0.356981707915741,0.214880129074173,-292.245601050426,0.816816094725644,"Turbine road density + NDVI + slope","-1.98 [-2.59, -1.37]","0.86 [0.32, 1.40]","1.35 [0.74, 1.97]",NA,"0.14 [-0.30, 0.57]",NA,NA,"-2.09 [-2.26, -1.92]","-2.44 [-4.05, -0.82]",0.199069052622804,1,0.655473331522766,0.356981707915741
"Turbine road density x NDVI + slope",7,598.758572910985,3.44330175751134,0.178770775291323,0.107608559255244,-291.783541774642,0.924424653980888,"Turbine road density x NDVI + slope","-2.17 [-2.90, -1.45]","0.85 [0.33, 1.37]","1.56 [0.81, 2.31]",NA,"-0.25 [-1.03, 0.53]","0.58 [-0.34, 1.50]",NA,"-2.09 [-2.27, -1.92]","-2.43 [-4.06, -0.81]",1.12318760419078,2,0.570299394754764,0.178770775291323
"NDVI",4,600.168761269873,4.85349011639869,0.0883238542146889,0.0531653044767785,-295.878195067926,0.977589958457667,"NDVI","-1.88 [-2.44, -1.31]",NA,"1.40 [0.84, 1.97]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.51 [-4.11, -0.90]",NA,NA,NA,NA
"Turbine road density + NDVI",5,602.290438251254,6.9751670977804,0.0305746651602928,0.0184039905977312,-295.832719125627,0.995993949055398,"Turbine road density + NDVI","-1.89 [-2.47, -1.31]",NA,"1.40 [0.83, 1.96]",NA,"0.09 [-0.33, 0.50]",NA,NA,"-2.09 [-2.27, -1.92]","-2.52 [-4.13, -0.92]",0.0909518845976436,1,0.762970501492162,0.346165432115031
"Biotic community + slope",5,606.739096839463,11.4238256859893,0.00330634197904836,0.00199020615193247,-298.057048419732,0.99798415520733,"Biotic community + slope","-1.86 [-2.45, -1.28]","0.92 [0.42, 1.42]",NA,"1.15 [0.31, 1.99]",NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.71 [-4.29, -1.12]",NA,NA,NA,NA
"Slope",4,608.439727628701,13.1244564752271,0.00141273429290784,0.00085037558081043,-300.01367824734,0.998834530788141,"Slope","-1.39 [-1.81, -0.98]","0.91 [0.41, 1.41]",NA,NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.88 [-4.45, -1.31]",NA,NA,NA,NA
"Turbine road density + slope",5,609.065145030212,13.7498738767374,0.00103336280213698,0.000622018236172632,-299.220072515106,0.999456549024313,"Turbine road density + slope","-1.44 [-1.87, -1.01]","0.94 [0.43, 1.45]",NA,NA,"0.35 [-0.05, 0.76]",NA,NA,"-2.09 [-2.27, -1.92]","-2.87 [-4.44, -1.31]",1.58721146446908,1,0.207724990577617,0.731462956144428
"Turbine road density x biotic community + slope",7,609.399081414871,14.0838102613974,0.000874459015600073,0.000526368331977865,-297.103796026585,0.999982917356291,"Turbine road density x biotic community + slope","-1.94 [-2.56, -1.32]","0.93 [0.41, 1.44]",NA,"1.22 [0.34, 2.09]","0.54 [-0.02, 1.09]",NA,"-0.51 [-1.34, 0.33]","-2.09 [-2.27, -1.92]","-2.62 [-4.22, -1.01]",1.90650478629402,2,0.385485232869482,0.264479301034602
"Null",3,617.194715353196,21.8794441997219,1.77394053868419e-05,1.06779861116116e-05,-305.474908697006,0.999993595342403,"Null","-1.27 [-1.65, -0.89]",NA,NA,NA,NA,NA,NA,"-2.10 [-2.27, -1.92]","-2.98 [-4.56, -1.40]",NA,NA,NA,NA
"Turbine road density",4,618.217032901547,22.9017617480733,1.06400978886004e-05,6.40465759720084e-06,-304.902330883763,1,"Turbine road density","-1.30 [-1.69, -0.91]",NA,NA,NA,"0.28 [-0.09, 0.65]",NA,NA,"-2.09 [-2.27, -1.92]","-2.94 [-4.52, -1.36]",1.14515562648558,1,0.284565547596786,0.59980014304722
